Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000118/23;118;DISPENSA;23;46;Homologada  ;27/12/2023;08:00;15.966,67;15.100,00;Contratação de empresa especializada em locação de banheiros químicos, incluso instalação e retirada, para atender as festividades da tradicional fest;13/12/2023;27/12/2023;;N;;Art. 24, II, Lei 8666/93;;
000117/23;117;TOMADA DE PREÇOS;23;3;Em Andamento;15/01/2024;09:00;622.915,31;0,00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA EXECUÇÃO DE OBRAS DE MICRODRENAGEM, PARA ATENDER AS NECESSIDADES DO MUNICÍPIO DE RIOLÂNDIA/SP, COM FORNECIMENT;26/12/2023;;;N;;;;
000116/23;116;PREGÃO PRESENCIAL;23;48;Classificada;11/01/2024;08:30;716.620,80;0,00;Registro de Preço para aquisição futura e parcelada de leites especiais e suplementos alimentares, tendo em vista crianças e adultos com diversos prob;22/12/2023;;;S;;;;
000115/23;115;DISPENSA;23;45;Homologada  ;20/12/2023;08:00;35.520,00;35.520,00;Contratação de empresa especializada no desenvolvimento de atividades para promoção da integração ao mercado de trabalho, de acordo com a Constituição;01/12/2023;20/12/2023;;N;;Art. 24, XIII, Lei 8666/93;;
000114/23;114;DISPENSA;23;44;Homologada  ;15/12/2023;08:00;47.513,00;45.000,00;Aquisição de camas empilháveis infantis, com entrega imediata, para atender a demanda das Creches do Município de Riolândia-SP, conforme descrições co;06/12/2023;15/12/2023;;N;;Art. 75, II, Lei 14.133/2021;;
000113/23;113;DISPENSA;23;43;Homologada  ;18/12/2023;08:00;17.666,67;17.000,00;Contratação de profissional artístico (dee jay) para apresentação nas festividades da tradicional festa de Ano Novo do Município de Riolândia-SP, que ;01/12/2023;18/12/2023;;N;;Art. 24, II, Lei 8666/93;;
000112/23;112;DISPENSA;23;42;Homologada  ;08/12/2023;08:30;21.246,67;19.550,00;Aquisição de mesas e bancos de ardósia, incluso correta instalação, para atender as necessidades da EMEB Professora Maria Aparecida dos Santos Franco ;28/11/2023;08/12/2023;;N;;Art. 75, II, Lei 14.133/2021;;
000111/23;111;DISPENSA;23;41;Homologada  ;08/12/2023;08:00;16.716,67;15.900,00;Contratação de empresa especializada no fornecimento de estrutura técnica e operacional, visando a realização da tradicional festa de Ano Novo do Muni;29/11/2023;08/12/2023;;N;;Art. 24, II, Lei 8666/93;;
000110/23;110;PREGÃO PRESENCIAL;23;46;Homologada  ;19/12/2023;08:30;261.429,99;241.440,00;Aquisição de 3 (três) veículos 0 Km, para atender as necessidades do Setor de Saúde da Prefeitura Municipal de Riolândia-SP, com entrega imediata, con;05/12/2023;19/12/2023;;N;;;;
000109/23;109;INEXIGIBILIDADE;23;11;Homologada  ;05/12/2023;08:00;74.100,00;74.100,00;Contratação de profissional do setor artístico para realização de show para as festividades da tradicional festa de Ano Novo do Município de Riolândia;21/11/2023;05/12/2023;;N;;Art. 25, III, Lei 8666/93;;
000108/23;108;INEXIGIBILIDADE;23;10;Homologada  ;05/12/2023;08:00;50.000,00;50.000,00;Contratação de profissional do setor artístico para realização de show para as festividades da tradicional festa de Ano Novo do Município de Riolândia;21/11/2023;05/12/2023;;N;;Art. 25, III, Lei 8666/93;;
000107/23;107;DISPENSA;23;40;Homologada  ;05/12/2023;09:00;16.430,00;15.980,00;Aquisição de massa asfáltica usinada a quente para aplicação a frio, para uso do Departamento de Obras e Serviços Municipais da Prefeitura Municipal d;27/11/2023;05/12/2023;;N;;Art. 75, II, Lei 14.133/2021;;
000106/23;106;PREGÃO PRESENCIAL;23;45;Homologada  ;15/12/2023;08:30;1.443.738,50;1.299.030,00;Registro de Preço para eventuais aquisições de kits de materiais escolares, visando a distribuição aos alunos matriculados nas escolas municipais de R;23/11/2023;15/12/2023;;S;29/12/2024;;;
000105/23;105;PREGÃO PRESENCIAL;23;47;Classificada;08/01/2024;08:30;702.829,32;0,00;Registro de Preço para eventuais aquisições de diversos tipos de materiais e medicamentos odontológicos, para atender a atenção básica a saúde bucal d;18/12/2023;;;S;;;;
000104/23;104;PREGÃO PRESENCIAL;23;44;Homologada  ;12/12/2023;08:30;245.361,11;158.150,00;Registro de preços para eventuais aquisições de ares-condicionados, para suprir as necessidades de diversos setores da Prefeitura municipal de Riolând;28/11/2023;12/12/2023;;S;21/12/2024;;;
000103/23;103;PREGÃO PRESENCIAL;23;43;Homologada  ;11/12/2023;08:30;131.064,72;115.200,00;Contratação de empresa especializada em Engenharia de Segurança e Medicina do Trabalho, para aplicação das Normas Regulamentadoras do Ministério do Tr;22/11/2023;11/12/2023;;N;;;;
000102/23;102;DISPENSA;23;39;Homologada  ;24/11/2023;09:00;69.313,18;66.528,00;Contratação de empresa especializada em retífica de motor, visando o fornecimento de peças e mão de obra, para atender as necessidades de um caminhão ;30/10/2023;24/11/2023;;N;;Art. 75, I, Lei 14.133/2021;;
000101/23;101;PREGÃO PRESENCIAL;23;42;Homologada  ;06/12/2023;08:00;3.088.178,15;1.857.886,67;Registro de preço para eventuais aquisições de diversos tipos de materiais para construção, visando atender a demanda de diversos setores da Prefeitur;21/11/2023;06/12/2023;;S;13/12/2024;;;
