Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000105/24;105;PREGÃO PRESENCIAL;24;44;Homologada  ;26/12/2024;08:00;3.944.127,00;1.870.262,65;Registro de Preço para eventuais aquisições de materiais de expediente e papelaria, para atender a demanda de diversos setores da Prefeitura Municipal;09/12/2024;26/12/2024;;S;13/01/2026;Art. 28, Lei 14.133/2021;;
000104/24;104;DISPENSA;24;42;Homologada  ;10/12/2024;08:30;17.235,00;16.560,00;Contratação de empresa especializada na prestação de serviços seguranças não armados, para atender os eventos de final de ano do Município de Riolândi;27/11/2024;10/12/2024;;N;;Art. 75, II, Lei 14.133/2021;;
000103/24;103;DISPENSA;24;41;Homologada  ;02/12/2024;13:00;56.363,33;55.352,00;Contratação de empresa especializada na prestação de serviços especializados em rede elétrica de baixa tensão, para manutenção em diversos prédios e p;14/11/2024;02/12/2024;;N;;Art. 75, II, Lei 14.133/2021;;
000102/24;102;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);24;43;Homologada  ;12/12/2024;08:30;1.497.997,00;1.327.850,00;Registro de Preço para eventuais aquisições de kits de materiais escolares, visando a distribuição aos alunos matriculados nas escolas municipais de R;28/11/2024;12/12/2024;;S;23/12/2025;Art. 28, Lei 14.133/2021;;
000101/24;101;DISPENSA;24;40;Homologada  ;02/12/2024;13:00;57.133,39;55.000,00;Contratação de empresa para locação de itens de cenários, personagens, adereços e decorações natalinas que serão instaladas na cidade de  Riolândia-SP;22/11/2024;02/12/2024;;N;;Art. 75, II, Lei 14.133/2021;;
000100/24;100;PREGÃO PRESENCIAL;24;42;Homologada  ;09/12/2024;08:00;1.258.034,20;816.485,90;Registro de Preço para eventuais aquisições de diversos tipos de materiais hospitalares, visando atender a demanda das Unidades Básicas de Saúde do Mu;22/11/2024;09/12/2024;;S;16/12/2025;Art. 28, Lei 14.133/2021;;
000099/24;099;DISPENSA;24;39;Homologada  ;25/11/2024;13:00;52.500,00;52.500,00;Contratação de empresa especializada na prestação de serviços de poda, corte e de remoção de árvores em áreas públicas, com objetivo de atender a dema;04/11/2024;25/11/2024;;N;;Art. 75, II, Lei 14.133/2021;;
000098/24;098;PREGÃO PRESENCIAL;24;41;Homologada  ;05/12/2024;08:30;170.921,67;147.900,00;Aquisição de dois veículos seminovos para uso exclusivo no atendimento às demandas operacionais dos setores de Manutenção dos Serviços Urbanos e de Ma;22/11/2024;05/12/2024;;N;;;;
000097/24;097;INEXIGIBILIDADE;24;13;Homologada  ;12/11/2024;08:30;72.900,00;72.900,00;Contratação de profissional do setor artístico, para realização de show, para as comemorações de final de ano do Município de Riolândia-SP, conforme e;04/11/2024;12/11/2024;;N;;Art. 74, II, Lei 14.133/2021;;
000096/24;096;DISPENSA;24;39;Homologada  ;12/11/2024;13:00;18.866,67;17.100,00;Contratação de empresa especializada no fornecimento de estrutura técnica e operacional, visando à realização da tradicional festa de “Comemorações de;06/11/2024;12/11/2024;;N;;Art. 75, II, Lei 14.133/2021;;
000095/24;095;DISPENSA;24;38;Homologada  ;08/11/2024;11:00;611.959,50;563.904,85;Adesão à Ata de Registro de Preços n° 020/2024 (Pregão nº 019/2024 - Processo nº 046/2024), firmada entre a Prefeitura Municipal de Cardoso e as empre;25/10/2024;08/11/2024;S;S;11/11/2025;Art. 75, V, Lei 14.133/2021;;
000094/24;094;PREGÃO PRESENCIAL;24;40;Homologada  ;26/11/2024;08:30;1.687.926,10;1.323.206,84;Registro de preços para eventuais aquisições de pneus novos, para suprir as necessidades de manutenção da frota dos diversos setores da Prefeitura Mun;11/11/2024;26/11/2024;;S;03/12/2025;;;
