Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000167/21;167;DISPENSA;21;67;Homologada  ;23/12/2021;08:00;27.019,73;21.299,50;Aquisição de eletrodomésticos para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atendend;19/11/2021;23/12/2021;;N;;Art. 75, II, Lei 14.133/2021;;
000166/21;166;DISPENSA;21;66;Homologada  ;20/12/2021;09:00;17.387,52;17.000,00;Contratação de empresa especializada na realização de apresentações artísticas para as festividades do Natal e Ano Novo no Município de Riolândia, que;01/12/2021;20/12/2021;;N;;Art. 24, II, Lei 8666/93;;
000165/21;165;PREGÃO PRESENCIAL;21;57;Classificada;06/01/2022;08:30;1.249.160,28;0,00;Registro de preços para a aquisição de pneus novos, para suprir as necessidades de manutenção da frota dos diversos setores da Prefeitura Municipal de;09/12/2021;;;S;;;;
000164/21;164;CONVITE;21;36;Homologada  ;17/12/2021;09:30;31.300,00;30.000,00;Contratação de empresa especializada na apresentação de banda artística para as festividades do Natal no Município de Riolândia, que ocorrerá na Praça;07/12/2021;17/12/2021;;N;;;;
000163/21;163;LEILÃO;21;1;Em Andamento;28/12/2021;08:30;170.000,00;0,00;lienação de diversos veículos automotores, considerados inservíveis e de recuperação antieconômica para o uso do Município, em conformidade com as esp;25/11/2021;;;N;;;;
000162/21;162;CONVITE;21;35;Homologada  ;10/12/2021;09:30;60.852,14;59.059,94;Contratação de empresa especializada na prestação de serviços e fornecimento de materiais para instalação de tela de proteção contra nidificação de pá;24/11/2021;10/12/2021;;N;;;;
000161/21;161;DISPENSA;21;65;Homologada  ;30/11/2021;08:00;250.350,00;250.350,00;adesão do Consórcio Público Intermunicipal de Inovação e Desenvolvimento de São Paulo- CINDESP, através do Pregão Eletrônico nº 003/2021, Processo n° ;03/11/2021;30/11/2021;;N;;Art. 24, XVIII, Lei 8666/93;;
000160/21;160;CONVITE;21;34;Homologada  ;07/12/2021;09:30;46.519,78;45.843,60;Contratação de empresa especializada na prestação de serviços de manutenção geral em equipamentos, máquinas e eletrodomésticos, para atender a demanda;19/11/2021;07/12/2021;;N;;;;
000159/21;159;DISPENSA;21;64;Homologada  ;22/11/2021;08:00;50.400,00;48.000,00;Aquisição de 4.000 m² de gramas, para ser entregue, plantada e acerto em terrenos no Município de Riolândia-SP, para atender a demanda do município, e;18/10/2021;22/11/2021;;N;;Art. 75, II, Lei 14.133/2021;;
000158/21;158;DISPENSA;21;63;Homologada  ;23/11/2021;08:00;44.335,00;34.925,00;Contratação de empresa especializada no fornecimento de carrinhos de bebê, para atender as necessidades das Creches Municipais de Riolândia, com entre;05/11/2021;23/11/2021;;N;;Art. 75, II, Lei 14.133/2021;;
000157/21;157;CONVITE;21;33;Homologada  ;01/12/2021;09:30;65.699,97;62.200,00;contratação de empresa especializada no fornecimento de estrutura técnica e operacional para realização das festividades do Natal e Ano Novo no Municí;18/11/2021;01/12/2021;;N;;;;
000156/21;156;DISPENSA;21;62;Homologada  ;22/11/2021;09:00;20.825,00;17.500,00;Aquisição de Coletores de lixo em aço carbono, para atender a demanda das Praças Municipais de Riolândia-SP, conforme descrições e quantidades constan;05/11/2021;22/11/2021;;N;;Art. 24, II, Lei 8666/93;;
