Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000136/25;136;DISPENSA;25;62;Homologada  ;18/12/2025;08:30;1.035.789,60;952.506,00;Adesão a ATA DE REGISTRO DE PREÇOS, ORIGINÁRIA DO PREGÃO ELETRÔNICO Nº 10/2024 - EDITAL Nº 14/2024 - PROCESSO Nº 133/2024, firmada entre a empresa C&F;17/11/2025;18/12/2025;S;S;19/12/2026;Art. 86, § 2º, Lei 14.133/2021;;
000135/25;135;INEXIGIBILIDADE;25;17;Encerrada   ;11/12/2025;08:00;22.000,00;22.000,00;Contratação de profissional do Setor Artístico para realização de show na tradicional Comemoração de Fim de Ano do Município de Riolândia/SP, que ocor;10/12/2025;22/12/2025;;N;;Art. 74, II, Lei 14.133/2021;;
000134/25;134;DISPENSA;25;61;Encerrada   ;09/12/2025;08:30;56.942,67;55.000,00;Contratação de empresa especializada na locação de palco, som e iluminação para atender integralmente aos riders técnicos dos artistas contratados par;01/12/2025;09/12/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000133/25;133;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;46;Homologada  ;22/12/2025;08:30;609.182,12;397.000,00;Registro de Preço para aquisição de computadores e notebooks, visando atender às necessidades de diversos setores da Prefeitura Municipal de Riolândia;09/12/2025;05/01/2026;;S;09/01/2027;Art. 28, inciso I, Lei 14.133/2021;10/12/2025;22/12/2025
000132/25;132;DISPENSA;25;60;Homologada  ;08/12/2025;08:30;1.031.287,25;981.211,03;Adesão a Ata de Registro de Preços nº 006/2024, ref. CONCORRÊNCIA PRESENCIAL Nº 003/2024, PROCESSO LICITATÓRIO Nº 010/2024, firmada entre a empresa NO;01/12/2025;08/12/2025;S;S;08/12/2026;Art. 86, § 2º, Lei 14.133/2021;;
000131/25;131;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;45;Anulada     ;16/12/2025;08:30;667.336,80;0,00;Registro de Preço para Aquisição de conjuntos de carteiras e cadeiras escolares para atender as necessidades das escolas Ruy Malachias e Maria Apareci;02/12/2025;15/12/2025;;S;;Art. 28, Lei 14.133/2021;05/12/2025;16/12/2025
000130/25;130;CONCORRÊNCIA ELETRÔNICA (PORTAL DE COMPRAS);25;8;Homologada  ;18/12/2025;08:30;237.415,81;236.000,00;Contratação de empresa especializada em Execução de serviços de reforma completa do Centro de Fisioterapia, incluindo revestimentos internos e externo;03/12/2025;18/12/2025;;N;;Art. 28, Lei 14.133/2021;04/12/2025;18/12/2025
000129/25;129;PREGÃO PRESENCIAL;25;44;Homologada  ;09/12/2025;08:30;526.763,50;324.313,80;Registro de Preço para aquisição de gêneros alimentícios não perecíveis para atendimento das necessidades do serviço da Merenda Escolar da Rede Públic;26/11/2025;09/12/2025;;S;16/12/2026;Art. 28, inciso I, Lei 14.133/2021;;
000128/25;128;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;43;Homologada  ;05/12/2025;08:30;686.666,67;686.666,67;Aquisição de motoniveladora nova, zero quilômetro, para uso em serviços de terraplanagem, nivelamento e manutenção de vias do município de Riolândia/S;17/11/2025;05/12/2025;;N;;Art. 28, Lei 14.133/2021;25/11/2025;05/12/2025
000127/25;127;INEXIGIBILIDADE;25;16;Encerrada   ;17/11/2025;07:01;1.522.453,96;1.522.453,96;Contratação de Escritório de Advocacia e Consultoria Jurídica para geração de receitas próprias referentes a Recuperação de Crédito Previdenciário sob;17/11/2025;25/11/2025;;N;;Art. 74, III, Lei 14.133/2021;;
