Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000126/25;126;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;42;Homologada  ;01/12/2025;08:30;1.311.648,53;389.400,00;Registro de Preço para Aquisição de equipamentos e materiais de informática, visando atender às necessidades de diversos setores da Prefeitura Municip;12/11/2025;08/12/2025;;S;15/12/2026;Art. 28, inciso I, Lei 14.133/2021;17/11/2025;01/12/2025
000125/25;125;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;41;Homologada  ;28/11/2025;08:30;664.488,33;565.000,00;Aquisição de veículos novos, zero km, sendo 3 carros tipo hatch e um utilitário tipo van, para atender as necessidades do Setor da Saúde e Assistência;13/11/2025;09/12/2025;;N;;Art. 28, inciso I, Lei 14.133/2021;17/11/2025;28/11/2025
000124/25;124;DISPENSA;25;59;Homologada  ;12/11/2025;13:00;448.221,80;448.221,80;ACERVO PEDAGOGICO;17/10/2025;12/11/2025;S;S;12/11/2026;Art. 86, § 2º, Lei 14.133/2021;;
000123/25;123;CONCORRÊNCIA ELETRÔNICA (PORTAL DE COMPRAS);25;7;Homologada  ;27/11/2025;08:30;237.415,81;0,00;Contratação de empresa especializada em Execução de serviços de reforma completa do Centro de Fisioterapia, incluindo revestimentos internos e externo;06/11/2025;03/12/2025;;N;;Art. 28, Lei 14.133/2021;11/11/2025;27/11/2025
000122/25;122;INEXIGIBILIDADE;25;15;Encerrada   ;14/11/2025;10:59;205.000,00;205.000,00;SHOW DO PANDA;05/11/2025;19/11/2025;;N;;Art. 74, II, Lei 14.133/2021;;
000121/25;121;INEXIGIBILIDADE;25;15;Encerrada   ;14/11/2025;10:59;28.000,00;28.000,00;SHOW DE MATHEUS MINAS E LEANDRO;05/11/2025;19/11/2025;;N;;Art. 74, II, Lei 14.133/2021;;
000119/25;119;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;40;Homologada  ;06/11/2025;08:30;950.603,00;487.345,00;Registro de Preço para aquisições de leites especiais e suplementos alimentares, para suprir a demanda da Saúde e da Merenda Escolar da Prefeitura Mun;20/10/2025;19/11/2025;;S;28/11/2026;Art. 28, inciso I, Lei 14.133/2021;24/10/2025;06/11/2025
000118/25;118;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;39;Homologada  ;04/11/2025;08:30;200.974,50;184.000,00;Aquisição de uma ambulância para uso exclusivo no atendimento assistencial e ao transporte de pacientes do Setor de Saúde da Prefeitura Municipal de R;17/10/2025;04/11/2025;;N;;Art. 28, inciso I, Lei 14.133/2021;22/10/2025;04/11/2025
000117/25;117;DISPENSA;25;58;Homologada  ;15/10/2025;08:30;960.962,43;943.317,81;Adesão a Ata de Registro de Preços nº 017/2024, ref. Concorrência Presencial nº 004/2024, Processo Licitatório nº 017/2024, firmada entre a empresa NO;02/10/2025;15/10/2025;S;S;16/10/2026;Art. 86, § 2º, Lei 14.133/2021;;
000116/25;116;DISPENSA;25;57;Homologada  ;15/10/2025;08:30;537.728,76;527.797,61;Adesão a Ata de Registro de Preços nº 017/2024, ref. Concorrência Presencial nº 004/2024, Processo Licitatório nº 017/2024, firmada entre a empresa NO;02/10/2025;15/10/2025;S;S;16/10/2026;Art. 86, § 2º, Lei 14.133/2021;;
000115/25;115;PREGÃO PRESENCIAL;25;38;Homologada  ;31/10/2025;08:30;385.069,30;348.700,00;Registro de Preço para Contratação de empresa especializada em fornecimento de Oxigênio Medicinal em sistema de comodato dos cilindros, para atender o;13/10/2025;31/10/2025;;S;10/11/2026;;;
000114/25;114;DISPENSA;25;56;Homologada  ;14/10/2025;08:30;35.880,00;28.580,00;Aquisição de 1.000 kits para citologia em base líquida (instrumentos para coleta e armazenamento de amostra, insumos e reagentes necessários para o pr;08/10/2025;14/10/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000113/25;113;CONCORRÊNCIA ELETRÔNICA;25;6;Em Andamento;12/02/2026;08:30;2.774.193,99;0,00;Contratação Integrada de Empresa ou Consórcio especializado para a elaboração do Projeto Básico e Projeto Executivo, Execução de Obras e Serviços de E;05/11/2025;;;N;;Art. 28, Lei 14.133/2021;;
000112/25;112;DISPENSA;25;55;Encerrada   ;10/10/2025;08:30;33.936,00;19.680,00;Aquisição de filé de tilápia para atender as necessidades da Merenda Escolar da Rede Municipal de Ensino do Município de Riolândia/SP, com entrega par;06/10/2025;10/10/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000111/25;111;DISPENSA;25;54;Homologada  ;10/10/2025;08:00;16.230,51;15.382,04;Aquisição de gêneros alimentícios e refrigerantes, com entrega imediata, para às festividades em comemoração ao Dia das Crianças, promovidas pelo Fund;01/10/2025;10/10/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000110/25;110;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;37;Homologada  ;23/10/2025;08:30;1.259.104,00;238.770,00;Registro de Preços para a Aquisição de Fraldas Descartáveis (infantis e geriátricas), para suprir as demandas da Coordenadoria Municipal da Educação e;07/10/2025;18/11/2025;;S;27/11/2026;Art. 28, Lei 14.133/2021;13/10/2025;23/10/2025
000109/25;109;DISPENSA;25;53;Homologada  ;30/09/2025;08:30;9.466,66;9.000,00;Aquisição de Bebedouros Industrial, com entrega imediata, para atender as necessidades da escola Ruy Malachias do Município de Riolândia/SP, conforme ;19/09/2025;30/09/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000108/25;108;DISPENSA;25;52;Homologada  ;25/09/2025;08:30;808.026,66;808.026,66;Adesão a Ata de Registro de Preços nº 006/2024, ref. Concorrência Presencial nº 003/2024, Processo Licitatório nº 010/2024, firmada entre a empresa NO;10/09/2025;25/09/2025;S;S;25/09/2026;Art. 86, § 2º, Lei 14.133/2021;;
000107/25;107;PREGÃO PRESENCIAL;25;36;Homologada  ;10/10/2025;08:30;503.300,00;400.000,00;Registro de Preço de empresa especializada na realização de oficinas de atividades socioeducativas no âmbito dos programas da Assistência Social do Mu;25/09/2025;17/10/2025;;S;17/10/2026;;;
000106/25;106;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;35;Homologada  ;07/10/2025;08:30;5.464.500,00;5.464.500,00;Registro de Preço para a contratação de empresa(s) especializada(s) no fornecimento de combustíveis, para abastecimento direto da frota municipal do M;22/09/2025;07/10/2025;;S;15/10/2026;Art. 28, Lei 14.133/2021;25/09/2025;07/10/2025
000104/25;104;DISPENSA;25;50;Homologada  ;22/09/2025;08:30;202.372,90;202.372,90;Adesão a Ata de Registro de Preços nº 017/2024, ref. Concorrência Presencial nº 004/2024, Processo Licitatório nº 017/2024, firmada entre a empresa NO;10/09/2025;22/09/2025;S;S;22/09/2026;Art. 86, § 2º, Lei 14.133/2021;;
000103/25;103;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;34;Homologada  ;14/10/2025;08:30;4.084.218,00;3.955.000,00;Registro de Preço para aquisições de materiais de higiene e limpeza, para suprir a demanda de diversos setores da Prefeitura Municipal de Riolândia-SP;05/09/2025;14/10/2025;;S;21/10/2026;Art. 28, Lei 14.133/2021;22/09/2025;14/10/2025
000102/25;102;PREGÃO PRESENCIAL;25;33;Homologada  ;19/09/2025;08:30;233.800,00;221.000,00;: Registro de Preço para Contratação de empresa especializada em serviços de solda preventiva e corretiva em veículos, maquinários e mobiliários, para;03/09/2025;19/09/2025;;S;29/09/2026;Art. 28, Lei 14.133/2021;;
000101/25;101;PREGÃO PRESENCIAL;25;32;Homologada  ;12/09/2025;08:30;185.400,00;108.000,00;Contratação de empresa especializada na Prestação de Serviços Médicos na especialidade de Dermatologia, a fim;25/08/2025;19/09/2025;;N;;Art. 28, Lei 14.133/2021;;
000099/25;099;DISPENSA ELETRÔNICA (PORTAL DE COMPRAS);25;49;Encerrada   ;29/08/2025;08:30;29.824,20;22.552,00;Aquisição de cadeiras, mesas, lixeiras, ares-condicionados e armários, com entrega imediata, para atender as necessidades da USF Silmara Rodrigues de ;21/08/2025;29/09/2025;;N;;Art. 75, II, Lei 14.133/2021;25/08/2025;29/08/2025
000098/25;098;DISPENSA ELETRÔNICA (PORTAL DE COMPRAS);25;48;Encerrada   ;29/08/2025;08:30;59.602,50;38.691,00;Aquisição de computadores, com entrega imediata, para atender as necessidades da USF Silmara Rodrigues de Paulo do Município de Riolândia/SP, conforme;21/08/2025;29/09/2025;;N;;Art. 75, II, Lei 14.133/2021;25/08/2025;29/08/2025
000097/25;097;DISPENSA;25;47;Homologada  ;14/08/2025;08:30;269.482,01;252.073,07;A Adesão Ata de Registro de Preços nº 017/2024, ref. Concorrência Presencial nº 004/2024, Processo Licitatório nº 017/2024 tem por objeto a execução d;25/07/2025;14/08/2025;S;S;15/08/2026;Art. 86, § 2º, Lei 14.133/2021;;
000096/25;096;DISPENSA;25;46;Encerrada   ;11/08/2025;08:00;61.719,96;58.690,00;Contratação de empresa especializada em prestação de serviços de Ouvidoria, com plataforma de canais de atendimento, fornecimento de relatórios, telec;05/08/2025;14/08/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000095/25;095;CONCORRÊNCIA;25;5;Deserta     ;25/08/2025;09:00;12.000,00;0,00;Concessão de Uso de Espaço Público, a título oneroso, das dependências destinadas à lanchonete localizada na Praia Municipal de Riolândia, para a expl;12/08/2025;25/08/2025;;N;;Art. 28, Lei 14.133/2021;;
000094/25;094;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;31;Homologada  ;20/08/2025;08:30;567.360,00;267.766,00;Registro de Preço para aquisições de produtos de panificação, para suprir as necessidades dos diversos setores da Prefeitura Municipal de Riolândia, c;06/08/2025;20/08/2025;;S;27/08/2026;Art. 28, Lei 14.133/2021;08/08/2025;20/08/2025
000093/25;093;DISPENSA;25;45;Encerrada   ;07/07/2025;08:30;10.299,96;9.800,00;Contratação de empresa especializada para a aquisição e instalação de mesas e bancos em ardósia para a escola Ruy Malachias do Município de Riolândia/;23/06/2025;09/07/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000092/25;092;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;30;Homologada  ;13/08/2025;08:30;999.952,50;327.812,50;Registro de Preço para aquisições de bobinas de plástico para sacos de lixo, para suprir a demanda de diversos setores da Prefeitura Municipal de Riol;29/07/2025;20/08/2025;;S;20/08/2026;Art. 28, Lei 14.133/2021;01/08/2025;13/08/2025
000091/25;091;DISPENSA;25;44;Encerrada   ;31/07/2025;08:30;36.610,00;33.330,00;Contratação de empresa especializada em pintura e funilaria automotiva para execução de manutenção e revitalização completa de um ônibus do Setor de A;21/07/2025;31/07/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000090/25;090;DISPENSA;25;43;Encerrada   ;24/07/2025;08:30;16.420,00;15.000,00;Contratação de empresa especializada na montagem e instalação de sombrites, com execução imediata, para cobertura na USF Dr. Antônio Carlos Rodrigues ;11/07/2025;24/07/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000089/25;089;CONCORRÊNCIA ELETRÔNICA (PORTAL DE COMPRAS);25;4;Homologada  ;07/08/2025;08:30;606.577,54;494.500,00;Contratação de empresa especializada em Execução de Obras para construção de ponte de concreto armado na Estrada Municipal RLD-030, Córrego Cuiabano, ;22/07/2025;15/08/2025;;N;;Art. 28, Lei 14.133/2021;24/07/2025;07/08/2025
000088/25;088;CONCORRÊNCIA;25;3;Deserta     ;31/07/2025;09:00;15.800,04;0,00;Concessão de Uso de Espaço Público, a título oneroso, das dependências destinadas à lanchonete localizada na Praia Municipal de Riolândia, para a expl;15/07/2025;31/07/2025;;N;;Art. 28, Lei 14.133/2021;;
000087/25;087;DISPENSA ELETRÔNICA (PORTAL DE COMPRAS);25;42;Encerrada   ;23/07/2025;09:00;24.542,14;16.280,00;Aquisição de mesas, cadeiras e armário, com entrega imediata, para atender as necessidades da USF Dr. Antônio Carlos Rodrigues do Município de Riolând;11/07/2025;24/07/2025;;N;;Art. 75, II, Lei 14.133/2021;18/07/2025;23/07/2025
000086/25;086;PREGÃO PRESENCIAL;25;29;Homologada  ;25/07/2025;09:00;460.299,24;444.039,96;Registro de Preço para a contratação de serviços especializados de produção audiovisual, compreendendo a produção, a captação, a edição e a gravação d;10/07/2025;25/07/2025;;S;04/08/2026;Art. 28, Lei 14.133/2021;;
000085/25;085;PREGÃO PRESENCIAL;25;28;Homologada  ;24/07/2025;08:30;896.866,26;164.941,30;Registro de Preço de serviços de borracharia para manutenção da frota da Prefeitura Municipal de Riolândia-SP, com execução parcelada pelo período de ;03/07/2025;24/08/2025;;S;01/08/2026;Art. 28, inciso I, Lei 14.133/2021;;
000084/25;084;DISPENSA ELETRÔNICA (PORTAL DE COMPRAS);25;41;Encerrada   ;14/07/2025;08:30;39.600,00;31.200,00;Aquisição de loções repelentes, com entrega imediata, para atender as necessidades do Setor de Saúde e de Controle de Endemias do Município de Riolând;27/06/2025;21/07/2025;;N;;Art. 75, II, Lei 14.133/2021;08/07/2025;14/07/2025
000083/25;083;PREGÃO PRESENCIAL;25;27;Homologada  ;17/07/2025;09:00;382.850,00;378.050,00;Registro de Preço para aquisição de laticínios, para atendimento às necessidades do serviço de Merenda Escolar da Rede Municipal de Ensino e programas;30/06/2025;17/07/2025;;S;24/07/2026;Art. 28, Lei 14.133/2021;;
000081/25;081;INEXIGIBILIDADE;25;12;Homologada  ;01/07/2025;09:30;135.000,00;135.000,00;Contratação de profissional do setor artístico para realização de show na tradicional Festa do Peão do Município de Riolândia-SP, que ocorrerá nos dia;25/06/2025;01/07/2025;;N;;Art. 74, II, Lei 14.133/2021;;
000080/25;080;INEXIGIBILIDADE;25;11;Homologada  ;01/07/2025;08:30;200.000,00;200.000,00;Contratação de profissional do setor artístico para realização de show na tradicional Festa do Peão do Município de Riolândia-SP, que ocorrerá nos dia;25/06/2025;01/07/2025;;N;;Art. 74, II, Lei 14.133/2021;;
000079/25;079;PREGÃO PRESENCIAL;25;26;Homologada  ;21/07/2025;08:29;989.244,04;826.429,09;A presente contratação tem como objeto o Registro de Preços para fornecimento de Gêneros Alimentícios Perecíveis e Não Perecíveis para atender as nece;18/06/2025;25/07/2025;;S;30/07/2026;Art. 28, inciso I, Lei 14.133/2021;;
000078/25;078;PREGÃO PRESENCIAL;25;25;Homologada  ;09/07/2025;08:30;476.092,35;467.043,00;Registro de Preço de empresa especializada no fornecimento de toners, cartuchos e cilindros, para suprir as necessidades de diversos setores da Prefei;18/06/2025;09/07/2025;;S;16/07/2026;Art. 28, Lei 14.133/2021;;
000077/25;077;DISPENSA;25;40;Encerrada   ;25/06/2025;08:30;18.446,67;15.965,00;Contratação de empresa especializada para a substituição de lonas e pintura de ferragens para manutenção de toldos na escola Ruy Malachias do Municípi;11/06/2025;25/06/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000076/25;076;DISPENSA;25;39;Encerrada   ;23/06/2025;08:30;33.200,04;27.600,00;Contratação de empresa especializada em prestação de serviços especializados para suporte técnico e estratégico à gestão municipal de saúde, com foco ;11/06/2025;23/06/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000075/25;075;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;24;Homologada  ;02/07/2025;08:30;110.163,33;109.500,00;Aquisição de um veículo novo, zero quilômetro, para uso exclusivo no atendimento das demandas administrativas e operacionais do Setor de Saúde da Pref;12/06/2025;02/07/2025;;N;;Art. 28, inciso I, Lei 14.133/2021;18/06/2025;02/07/2025
000074/25;074;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;23;Homologada  ;04/07/2025;08:30;235.875,00;162.000,00;Contratação de empresa para a aquisição e execução dos serviços de retirada e instalação de Grama Sintética esportiva conforme especificações técnicas;12/06/2025;04/07/2025;;N;;Art. 28, inciso I, Lei 14.133/2021;25/06/2025;04/07/2025
000073/25;073;DISPENSA;25;38;Homologada  ;09/06/2025;08:30;167.011,75;156.098,86;Adesão a Ata de Registro de Preços nº 016/2024, ref. Pregão Eletrônico nº 009/2024, Processo Licitatório nº 015/2024, firmada entre a empresa C&F Empr;28/04/2025;09/06/2025;S;S;17/06/2026;Art. 86, § 2º, Lei 14.133/2021;;
000072/25;072;DISPENSA;25;37;Encerrada   ;10/07/2025;07:29;28.333,33;20.000,00;Contratação de empresa especializada em Auditoria Jurídica e Contábil para a execução de Auditoria Independente durante todo o Processo de Execução do;02/06/2025;10/07/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000071/25;071;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;22;Homologada  ;26/06/2025;08:30;127.100,40;122.010,00;Registro de Preço para eventuais aquisições de areia grossa, areia fina, pedra britada 1 e pedrisco, para suprir as necessidades de diversos setores d;05/06/2025;26/07/2025;;S;03/07/2026;Art. 28, Lei 14.133/2021;12/06/2025;26/06/2025
000070/25;070;INEXIGIBILIDADE;25;10;Encerrada   ;10/06/2025;14:00;1.350,00;1.350,00;Locação de imóvel residencial no Município de Riolândia-SP, para conceder aluguel social pelo período de 3 (três) meses, visando atender família acolh;09/06/2025;10/06/2025;;N;;Art. 74, V, Lei 14.133/2021;;
000069/25;069;INEXIGIBILIDADE;25;9;Encerrada   ;09/06/2025;13:29;33.895,99;33.895,99;Contratação de Empresa especializada em Auditoria de Obras Públicas para execução de Auditoria Independente, durante todo o Processo de Execução do pr;09/06/2025;08/07/2025;;N;;Art. 74, III, Lei 14.133/2021;;
000068/25;068;DISPENSA;25;36;Encerrada   ;27/05/2025;13:30;20.520,00;19.800,00;Contratação de empresa especializada em ministrar aulas de dança de salão para o público da melhor idade do município de Riolândia/SP, pelo período de;20/05/2025;30/05/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000067/25;067;PREGÃO PRESENCIAL;25;21;Homologada  ;12/06/2025;08:30;263.833,50;257.250,00;Registro de preço para eventuais aquisições de gás liquefeito de petróleo - GLP (P-13 e P-45), para suprir as necessidades dos diversos setores da Pre;27/05/2025;12/06/2025;;S;25/06/2026;Art. 28, Lei 14.133/2021;;
000066/25;066;PREGÃO PRESENCIAL;25;20;Homologada  ;09/06/2025;09:00;892.401,97;497.236,78;Registro de Preço para eventuais aquisições de gêneros de consumo, utensílios e equipamentos, para atendimento às necessidades de diversos setores da ;23/05/2025;09/06/2025;;S;18/06/2026;Art. 28, Lei 14.133/2021;;
000065/25;065;PREGÃO PRESENCIAL;25;19;Homologada  ;11/06/2025;08:30;819.164,88;615.900,00;Registro de Preços para contratação de empresa especializada no fornecimento de estrutura técnica, operacional e outros serviços e locações, visando a;27/05/2025;11/06/2025;;S;23/06/2026;Art. 28, Lei 14.133/2021;;
000064/25;064;DISPENSA ELETRÔNICA (PORTAL DE COMPRAS);25;35;Encerrada   ;27/05/2025;08:00;58.533,33;30.000,00;Contratação de serviços de termonebulização espacial (fumacê) e termonebulização em toda a rede esgoto do Município de Riolândia-SP, compreendendo as ;19/05/2025;30/05/2025;;N;;Art. 75, II, Lei 14.133/2021;21/05/2025;26/05/2025
000063/25;063;DISPENSA;25;34;Encerrada   ;19/05/2025;08:30;4.783,50;4.130,00;Aquisição de um switch e um rack de parede para a escola Ruy Malachias, com entrega imediata, conforme descrições constantes no Anexo I - Termo de Ref;09/05/2025;20/05/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000062/25;062;PREGÃO PRESENCIAL;25;18;Homologada  ;29/05/2025;13:30;1.525.466,45;1.082.523,00;Registro de Preço para eventuais aquisições de óleo lubrificante, graxa e fluído para freio, para a manutenção da frota de veículos, máquinas e equipa;12/05/2025;29/05/2025;;S;05/06/2026;Art. 28, Lei 14.133/2021;;
000061/25;061;DISPENSA;25;33;Encerrada   ;13/05/2025;17:00;59.424,63;57.998,90;Contratação de empresa especializada para a realização de ações da Rede Municipal de Ensino e demais secretarias municipais a explicitação, por meio d;06/05/2025;13/05/2025;;N;;Art. 75, II, Lei 14.133/2021;09/05/2025;13/05/2025
000060/25;060;CONCORRÊNCIA ELETRÔNICA (PORTAL DE COMPRAS);25;2;Homologada  ;29/05/2025;08:30;993.119,61;986.000,00;Contratação de empresa especializada em Execução de Obras para realização de Revitalização Urbanística em Praça no Município de Riolândia/SP, com forn;09/05/2025;27/06/2025;;N;;Art. 28, Lei 14.133/2021;16/05/2025;29/05/2025
000059/25;059;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;17;Homologada  ;23/05/2025;08:30;202.166,00;177.500,00;Registro de Preços visando a contratação de empresa especializada na confecção e entrega de Próteses Dentárias para atender às necessidades da rede de;08/05/2025;23/05/2025;;S;30/05/2026;Art. 28, Lei 14.133/2021;16/05/2025;23/05/2025
000058/25;058;PREGÃO PRESENCIAL;25;16;Homologada  ;21/05/2025;08:00;3.768.729,20;1.826.694,50;Registro de preço para aquisições de medicamentos contidos na Relação Municipal de Medicamentos Essenciais (REMUME), para atender as unidades de saúde;06/05/2025;21/05/2025;;S;28/05/2026;Art. 28, Lei 14.133/2021;;
000057/25;057;DISPENSA;25;32;Encerrada   ;06/05/2025;08:30;22.207,93;21.678,00;Aquisição de materiais de artesanato, brinquedos pedagógicos e materiais de papelaria diversos destinados a atividades educativas para a Escola Ruy Ma;28/04/2025;06/05/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000056/25;056;DISPENSA;25;31;Encerrada   ;25/04/2025;07:30;13.866,67;11.900,00;Contratação de empresa especializada em consultoria para a implantação e operacionalização da PNAB - Política Nacional Aldir Blanc (Lei nº 14.399/2022;22/04/2025;30/04/2025;;N;;Art. 75, II, Lei 14.133/2021;22/04/2025;25/04/2025
000055/25;055;PREGÃO PRESENCIAL;25;15;Homologada  ;15/05/2025;08:00;164.163,42;143.664,00;Registro de Preços para a Aquisição de Rações Caninas visando atender a demanda do Setor Veterinário e Canil Municipal do Município de Riolândia/SP, c;25/04/2025;15/05/2025;;S;22/05/2026;;05/05/2025;15/05/2025
000054/25;054;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;14;Homologada  ;13/05/2025;08:30;849.077,45;492.935,00;Registro de Preço para aquisições de ares-condicionados, para suprir as necessidades das escolas, creches e pré-escola municipais de Riolândia-SP, com;23/04/2025;14/05/2025;;S;21/05/2026;Art. 28, Lei 14.133/2021;29/04/2025;13/05/2025
000053/25;053;INEXIGIBILIDADE;25;8;Homologada  ;30/04/2025;08:00;1.050,00;1.050,00;Locação de imóvel residencial no Município de Riolândia-SP, para conceder aluguel social pelo período de 3 (três) meses, visando atender família acolh;23/04/2025;30/04/2025;;N;;Art. 74, V, Lei 14.133/2021;;
000052/25;052;PREGÃO PRESENCIAL;25;13;Homologada  ;12/05/2025;09:00;6.653.634,68;6.653.634,68;Registro de preço para eventuais aquisições de medicamentos não contidos na Relação Municipal de Medicamentos Essenciais (REMUME), objetivando o maior;23/04/2025;12/05/2025;;S;19/05/2026;Art. 28, Lei 14.133/2021;;
000051/25;051;DISPENSA;25;30;Encerrada   ;23/04/2025;13:00;58.333,34;56.000,00;Aquisição de letreiro com a palavra “Riolândia” e mastro com a bandeira do Município, conforme especificações técnicas e quantidades contidas no Anexo;09/04/2025;24/04/2025;;N;;Art. 75, II, Lei 14.133/2021;;
000050/25;050;PREGÃO PRESENCIAL;25;12;Em Andamento;05/05/2025;08:00;892.401,97;0,00;Registro de Preço para eventuais aquisições de gêneros de consumo, utensílios e equipamentos, para atendimento às necessidades de diversos setores da ;14/04/2025;;;S;;Art. 28, Lei 14.133/2021;;
000049/25;049;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);25;11;Homologada  ;30/04/2025;08:30;542.542,50;441.000,00;Registro de Preço para eventuais aquisições de cestas básicas de alimentos, para suprir a demanda do Fundo Municipal de Assistência e Promoção Social ;09/04/2025;30/05/2025;;S;09/05/2026;Art. 28, Lei 14.133/2021;15/04/2025;30/04/2025
