Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Artigo/Inciso;Economia Absoluta;Economia Percentual
000073/21;73.0;DISPENSA;21;31;Homologada  ;25/05/2021;17520.0;16800.0;Contratação de empresa especializada em ministrar aulas de dança de salão para o público da melhor Idade, pelo período de 12 (doze) meses.;04/05/2021;25/05/2021;;N;Art. 24, II, Lei 8666/93;720.0;0.0410958904109589
000072/21;72.0;DISPENSA;21;30;Homologada  ;20/05/2021;1133.4;1133.4;Contratação de empresa especializada na prestação de serviços, para realizar troca de óleo, filtros, balanceamento, alinhamento e revisão completa no ;18/05/2021;20/05/2021;;N;Art. 24, II, Lei 8666/93;0.0;0.0
000071/21;71.0;PREGÃO PRESENCIAL;21;27;Homologada  ;08/06/2021;1611805.18;826683.71;Registro de preço para eventual aquisição de gêneros de consumo e utensílios para atendimento às necessidades do serviço de diversos setores da prefei;14/05/2021;08/06/2021;;S;;785121.47;0.4871069281462416
000070/21;70.0;DISPENSA;21;29;Homologada  ;19/05/2021;77700.0;70300.0;Aquisição de recargas de oxigênio medicinal, que se faz necessário para atender a demanda do Setor de Saúde do município de Riolândia-SP.;30/04/2021;19/05/2021;;N;Art. 75, VIII, Lei 14.133/2021;7400.0;0.09523809523809523
000069/21;69.0;PREGÃO PRESENCIAL;21;26;Homologada  ;02/06/2021;97696.98;93102.0;Registro de Preço para eventual contratação de empresa especializada na confecção de materiais gráficos para atender a demanda dos diversos setores da;17/05/2021;02/06/2021;;S;;4594.979999999996;0.0470329789109141
000068/21;68.0;PREGÃO PRESENCIAL;21;25;Homologada  ;07/06/2021;375423.33;365409.2;Aquisição de óleo lubrificante, graxa e fluído para freio, para a manutenção da frota de veículos, máquinas e equipamentos dos diversos setores da Pre;20/05/2021;07/06/2021;;N;;10014.130000000005;0.02667423465664748
000067/21;67.0;PREGÃO PRESENCIAL;21;24;Homologada  ;26/05/2021;70510.0;53994.0;A aquisição de ração canina para atender a demanda do canil municipal de Riolândia, com entrega parcelada, pelo período de 12 (doze) meses, conforme e;10/05/2021;26/05/2021;;N;;16516.0;0.23423627854205079
000066/21;66.0;PREGÃO PRESENCIAL;21;23;Homologada  ;25/05/2021;450718.87;417325.92;Contratação de empresa especializada no fornecimento de peças e acessórios e na prestação de serviços de auto elétrica para manutenção preventiva e co;07/05/2021;25/05/2021;;N;;33392.95000000001;0.07408820047849342
000065/21;65.0;DISPENSA;21;28;Homologada  ;11/05/2021;16775.0;16470.0;Contratação de empresa especializada em serviços de limpeza urbana e capina química em vias e logradouros do Município de Riolândia, conforme especifi;20/04/2021;11/05/2021;;N;Art. 24, II, Lei 8666/93;305.0;0.01818181818181818
000064/21;64.0;CONVITE;21;11;Homologada  ;19/05/2021;44400.0;27600.0;Contratação para serviços de divulgação e publicidade dos atos oficiais da Prefeitura Municipal de Riolândia, na imprensa escrita de circulação local ;30/04/2021;19/05/2021;;N;;16800.0;0.3783783783783784
000063/21;63.0;CONVITE;21;10;Homologada  ;17/05/2021;49950.0;47000.0;Contratação de empresa especializada em locação de equipamento de som e propaganda de rua, com fornecimento de mão de obra, para atender a demanda de ;06/05/2021;17/05/2021;;N;;2950.0;0.05905905905905906
000062/21;62.0;DISPENSA;21;27;Homologada  ;05/05/2021;28800.0;17952.0;locação de prédio localizado na situado na Avenida 13, nº 1562, Centro, nesta cidade de Riolândia-SP, destinado ao Banco do Povo, DETRAN e Setor Veter;12/04/2021;05/05/2021;;N;Art. 24, X, Lei 8666/93;10848.0;0.37666666666666665
000061/21;61.0;PREGÃO PRESENCIAL;21;22;Homologada  ;18/05/2021;613279.56;577909.66;Contratação de empresa para aquisição de kits de material escolar, para distribuição aos alunos das escolas municipais de Riolândia-SP, pelo período d;30/04/2021;18/05/2021;;N;;35369.90000000002;0.057673371667563846
000060/21;60.0;CONVITE;21;9;Homologada  ;12/05/2021;53200.0;39600.0;Contratação de empresa especializada na prestação de serviços de assessoria e consultoria educacional e jurídica da área da educação básica do municíp;28/04/2021;12/05/2021;;N;;13600.0;0.2556390977443609
000059/21;59.0;DISPENSA;21;26;Homologada  ;30/04/2021;13061.0;11410.0;Contratação de empresa especializada em fornecimento de peças e mão de obra para manutenção de veículos do setor da Saúde e Rodoviário da Prefeitura M;02/04/2021;30/04/2021;;N;Art. 24, I, Lei 8666/93;1651.0;0.12640686011790828
000058/21;58.0;PREGÃO PRESENCIAL;21;21;Homologada  ;12/05/2021;125360.0;114900.0;A presente requisição tem por objeto à aquisição de 02 (dois) veículos 0 km, destinados ao uso do Setor da Saúde doa Prefeitura Municipal de Riolândia;23/04/2021;12/05/2021;;N;;10460.0;0.08343969368219528
000057/21;57.0;PREGÃO PRESENCIAL;21;20;Homologada  ;10/05/2021;1710178.77;1090019.75;Registro de Preço para aquisição de materiais de expediente e papelaria para atender a demanda dos diversos setores da Prefeitura Municipal de Riolând;22/04/2021;11/05/2021;;S;;620159.02;0.36262818301738126
000056/21;56.0;DISPENSA;21;25;Homologada  ;22/04/2021;1350.0;1350.0;locação de imóvel para conceder aluguel social;20/04/2021;22/04/2021;;N;Art. 24, II, Lei 8666/93;0.0;0.0
000055/21;55.0;DISPENSA;21;24;Homologada  ;20/04/2021;27600.0;24000.0;locação de prédio comercial a ser destinado as instalações e funcionamento de um Posto de Saúde Familiar para acolhimento do bairro da baixada do Muni;29/03/2021;20/04/2021;;N;Art. 24, X, Lei 8666/93;3600.0;0.13043478260869565
000054/21;54.0;PREGÃO PRESENCIAL;21;19;Homologada  ;04/05/2021;1907858.3;488209.97;Registro de preço para à aquisição de medicamentos da Relação Municipal de Medicamentos Essenciais (REMUME) e materiais hospitalares, para atender a d;15/04/2021;04/05/2021;;S;;1419648.33;0.7441057493630423
000053/21;53.0;PREGÃO PRESENCIAL;21;18;Homologada  ;30/04/2021;206669.43;140682.1;Registro de preços para Aquisição de gêneros alimentícios não perecíveis para atendimento às necessidades de setores da Administração Pública deste Mu;14/04/2021;30/04/2021;;S;;65987.32999999999;0.31928926305162786
000052/21;52.0;PREGÃO PRESENCIAL;21;17;Homologada  ;29/04/2021;267080.0;220000.0;Registro de preço para contratação de empresa para prestação de serviços de segurança e brigadistas não armados, para atender a necessidade de diverso;13/04/2021;29/04/2021;;N;;47080.0;0.17627677100494235
000051/21;51.0;PREGÃO PRESENCIAL;21;16;Homologada  ;27/04/2021;1917664.2;965095.39;Registro de preço para a aquisição de materiais de higiene e limpeza para atender a demanda dos diversos setores da Prefeitura Municipal de Riolândia,;06/04/2021;27/04/2021;;S;;952568.8099999999;0.4967338963724723
000050/21;50.0;PREGÃO PRESENCIAL;21;15;Homologada  ;26/04/2021;94330.0;89990.0;aquisição de 01 (um) veículo seminovo, destinado ao uso do Gabinete do Prefeito do Município de Riolândia, conforme especificações do Anexo I – Termo ;09/04/2021;26/04/2021;;N;;4340.0;0.04600869288667444
000049/21;49.0;CONVITE;21;8;Homologada  ;22/04/2021;98173.67;92178.0;Contratação de empresa especializada na realização de recuperação, manutenção e funilaria, incluindo fornecimento de peças/acessórios e mão de obra, p;08/04/2021;22/04/2021;;N;;5995.669999999998;0.06107207767622417
000048/21;48.0;CONVITE;21;7;Homologada  ;20/04/2021;86900.0;82800.0;Contratação de empresa especializada em Engenharia de Segurança e Medicina do Trabalho, para aplicação das Normas Regulamentadoras do Ministério do Tr;05/04/2021;20/04/2021;;N;;4100.0;0.047180667433831994
000046/21;46.0;PREGÃO PRESENCIAL;21;14;Classificada;23/04/2021;174080.0;0.0;A presente requisição tem por objeto a aquisição de Kits de Higiene para distribuição aos alunos das escolas municipais de Riolândia-SP, pelo período ;02/04/2021;;;N;;174080.0;1.0
000045/21;45.0;DISPENSA;21;23;Homologada  ;08/04/2021;213600.0;204000.0;Contratação de empresa especializada em serviços médicos, que se faz necessário para atender a demanda do setor de saúde do município de Riolândia-SP,;15/03/2021;08/04/2021;;N;Art. 24, IV, Lei 8666/93;9600.0;0.0449438202247191
000044/21;44.0;CONVITE;21;6;Homologada  ;14/04/2021;80899.08;76539.96;Contratação de empresa especializada em prestação de serviços de manutenções nas áreas verdes e sistemas de lazer em loteamentos, compreendendo, poda,;05/04/2021;20/04/2021;;N;;4359.119999999995;0.053883431060031774
000043/21;43.0;PREGÃO PRESENCIAL;21;13;Em Andamento;20/04/2021;377100.0;0.0;Registro de preço para contratações de clínicas especializadas no tratamento de pessoas com dependência química e outras drogas, em regime de internaç;01/04/2021;;;S;;377100.0;1.0
000042/21;42.0;PREGÃO PRESENCIAL;21;12;Homologada  ;19/04/2021;139465.49;56981.05;aquisição de equipamentos hospitales, visando suprir as necessidades do município de Riolândia, conforme quantidades e especificações contidas no Term;30/03/2021;19/04/2021;;N;;82484.43999999999;0.5914326189224302
000041/21;41.0;PREGÃO PRESENCIAL;21;11;Homologada  ;16/04/2021;501172.41;131719.45;A aquisição de materiais hospitalares para atender a demanda das Unidades Básicas de Saúde e Programas e Projetos da Assistência Social do município d;29/03/2021;16/04/2021;;N;;369452.95999999996;0.7371773717551611
000040/21;40.0;DISPENSA;21;22;Homologada  ;29/03/2021;15935.87;15235.0;Contratação de empresa especializada em fornecimento de uniformes, para atender a demanda do setor da saúde do município de Riolândia/SP, conforme esp;08/03/2021;29/03/2021;;N;Art. 24, II, Lei 8666/93;700.8700000000008;0.04398065496267231
000039/21;39.0;PREGÃO PRESENCIAL;21;10;Homologada  ;13/04/2021;1509248.4;915727.14;Registro de Preços para aquisição de materiais de construção para atender a demanda dos diversos setores da Prefeitura Municipal de Riolândia, com ent;23/03/2021;13/04/2021;;S;;593521.2599999999;0.39325617969845117
000038/21;38.0;TOMADA DE PREÇOS;21;2;Homologada  ;15/04/2021;384761.49;379001.8;Contratação de empresa especializada em obras e serviços de engenharia para recapeamento asfáltico em diversas vias do município de Riolândia-SP, com ;24/03/2021;23/04/2021;;N;;5759.690000000002;0.014969507473318088
000037/21;37.0;CONVITE;21;5;Homologada  ;08/04/2021;175960.0;175440.0;Contratação de empresa especializada na prestação de serviços de assessoria e consultoria, para atender ao Município com atividades técnicas continuad;22/03/2021;08/04/2021;;N;;520.0;0.0029552170947942714
000036/21;36.0;PREGÃO PRESENCIAL;21;9;Homologada  ;09/04/2021;179445.99;158954.5;Aquisição de alimentos não perecíveis para projetos e programas da Assistência Social deste Município de Riolândia/SP, com entrega parcelada, pelo per;24/03/2021;09/04/2021;;N;;20491.48999999999;0.11419307837416702
000035/21;35.0;DISPENSA;21;21;Homologada  ;24/03/2021;20500.0;15000.0;contratação de empresa especializada na prestação de serviços de treinamento e operação de equipamento presencial da equipe de profissionais da saúde,;01/03/2021;24/03/2021;;N;Art. 24, II, Lei 8666/93;5500.0;0.2682926829268293
000034/21;34.0;CONVITE;21;4;Homologada  ;01/04/2021;92574.84;90001.8;contratação de empresa especializada em prestação de serviços de paisagismo e jardinagem, compreendendo, poda, manutenção, conservação, plantio, repla;19/03/2021;01/04/2021;;N;;2573.0399999999936;0.027794160918884588
000033/21;33.0;DISPENSA;21;20;Homologada  ;23/03/2021;20363.28;17600.0;Aquisição de Trator 19 HP para corte de grama, para atender a demanda da Prefeitura Municipal de Riolândia, conforme especificações técnicas e quantid;02/03/2021;23/03/2021;;N;Art. 24, II, Lei 8666/93;2763.279999999999;0.13569916044959354
000032/21;32.0;PREGÃO PRESENCIAL;21;8;Homologada  ;06/04/2021;1350000.0;985100.0;Registro de Preços por lote, para a eventual aquisição de medicamentos não contidos na Relação Municipal de Medicamentos Essenciais (REMUME), objetiva;19/03/2021;06/04/2021;;S;;364900.0;0.2702962962962963
000031/21;31.0;DISPENSA;21;19;Homologada  ;22/03/2021;5388.0;4200.0;Contratação de empresa especializada no serviço de criação de portal para turismo (webdesign) e navegação, bem como desenvolvimento HTML e CMS (Gerenc;25/02/2021;22/03/2021;;N;Art. 24, II, Lei 8666/93;1188.0;0.22048997772828507
000030/21;30.0;CONVITE;21;3;Homologada  ;30/03/2021;106458.03;102211.0;Contratação de empresa especializada na realização de retifica de motor, incluindo fornecimento de peças/acessórios e mão de obra mecânica, para refor;18/03/2021;30/03/2021;;N;;4247.029999999999;0.03989393754515276
000029/21;29.0;PREGÃO PRESENCIAL;21;7;Homologada  ;05/04/2021;144583.2;142600.0;Aquisição de Laticínios para atendimento às necessidades do serviço de Merenda Escolar da Rede Municipal de Ensino e programas vinculados à Assistênci;16/03/2021;05/04/2021;;N;;1983.2000000000116;0.013716669709897218
000027/21;27.0;DISPENSA;21;17;Homologada  ;17/03/2021;27651.25;15000.0;Aquisição de guias de sarjetas pré-moldadas, para atender a demanda do sistema viário da Prefeitura Municipal de Riolândia, conforme especificações té;26/02/2021;17/03/2021;;N;Art. 24, II, Lei 8666/93;12651.25;0.4575290447990597
000026/21;26.0;PREGÃO PRESENCIAL;21;6;Homologada  ;31/03/2021;100304.0;94709.0;Aquisição de refis, toners e cartuchos remanufaturados, para suprir as necessidades de manutenção dos diversos setores da Prefeitura Municipal de Riol;12/03/2021;31/03/2021;;N;;5595.0;0.055780427500398785
000025/21;25.0;DISPENSA;21;16;Homologada  ;16/03/2021;12696.33;12500.0;Contratação de empresa especializada em fornecimento de bomba de infusão, para atender a demanda do setor da saúde do município de Riolândia/SP, confo;05/03/2021;16/03/2021;;N;Art. 24, IV, Lei 8666/93;196.32999999999993;0.015463523711182675
000024/21;24.0;DISPENSA;21;15;Homologada  ;15/03/2021;18200.0;17400.0;Contratação de pessoa jurídica especializada em serviços de assessoria e consultoria na gestão administrativa para alocação de recursos no Orçamento G;25/02/2021;15/03/2021;;N;Art. 24, II, Lei 8666/93;800.0;0.04395604395604396
000023/21;23.0;DISPENSA;21;14;Homologada  ;10/03/2021;10530.0;6120.0;contratação de empresa especializada na prestação de serviços de planejamento e execução de Processo Seletivo Simplificado no município de Riolândia, ;01/03/2021;10/03/2021;;N;Art. 24, II, Lei 8666/93;4410.0;0.4188034188034188
000022/21;22.0;DISPENSA;21;13;Homologada  ;09/03/2021;17831.42;17368.31;Contratação de empresa para fornecimento de peças que necessita o caminhão do setor Rodoviário da prefeitura municipal de Riolândia, para o período de;18/02/2021;09/03/2021;;N;Art. 24, I, Lei 8666/93;463.10999999999694;0.02597157152935644
000021/21;21.0;CONVITE;21;2;Homologada  ;16/03/2021;174873.6;164936.4;contratação de empresa especializada em prestação de serviços de paisagismo na rede municipal de ensino, prédios públicos, saúde e praças desta cidade;04/03/2021;16/03/2021;;N;;9937.200000000012;0.056825043917435286
000020/21;20.0;DISPENSA;21;12;Homologada  ;04/03/2021;15077.7;14733.87;Contratação de empresa para fornecimento de peças que necessita o micro-ônibus do setor da Saúde da prefeitura municipal de Riolândia, pelo período de;17/02/2021;04/03/2021;;N;Art. 24, I, Lei 8666/93;343.8299999999999;0.022803875922720304
000019/21;19.0;PREGÃO PRESENCIAL;21;5;Homologada  ;18/03/2021;210079.16;154000.0;Aquisição de cestas básicas de alimentos para o Fundo Municipal de Assistência e Promoção Social da Prefeitura Municipal de Riolândia, com entrega par;03/03/2021;18/03/2021;;N;;56079.16;0.26694299425035783
000018/21;18.0;DISPENSA;21;11;Homologada  ;03/03/2021;18896.67;17500.0;contratação de serviços de manutenção e instalação de ar condicionado para atendimento às necessidades dos setores da Administração, Saúde e Conselho ;15/02/2021;03/03/2021;;N;Art. 24, II, Lei 8666/93;1396.6699999999983;0.07391090599560655
000017/21;17.0;PREGÃO PRESENCIAL;21;4;Em Andamento;17/03/2021;113333.34;0.0;aquisição de Kits de Higiene para distribuição aos alunos das escolas municipais de Riolândia-SP, pelo período de 1 (um) mês, de acordo com as especif;26/02/2021;;;N;;113333.34;1.0
000016/21;16.0;PREGÃO PRESENCIAL;21;3;Homologada  ;11/03/2021;368416.2;320313.35;aquisição de alimentos perecíveis para projetos e programas da Assistência Social deste Município de Riolândia/SP, com entrega parcelada, pelo período;24/02/2021;11/03/2021;;N;;48102.850000000035;0.13056659832005224
000015/21;15.0;DISPENSA;21;10;Homologada  ;25/02/2021;16304.52;15982.93;Aquisição de materiais odontológicos para atender a demanda do Centro Odontológico Municipal - COM do município de Riolândia, conforme descrições cons;01/02/2021;25/02/2021;;N;Art. 24, IV, Lei 8666/93;321.59000000000015;0.019723978381454968
000014/21;14.0;DISPENSA;21;9;Homologada  ;24/02/2021;16756.44;15630.0;aquisição de 1.000 kits para citologia em base líquida (instrumentos para coleta e armazenamento de amostra, insumos e reagentes necessários para o pr;01/02/2021;24/02/2021;;N;Art. 24, II, Lei 8666/93;1126.4399999999987;0.06722430301424401
000013/21;13.0;DISPENSA;21;8;Homologada  ;23/02/2021;17183.63;17000.0;Contratação de empresa especializada em serviços de limpeza, capina e roçada, para atender a demanda dos logradouros públicos da Prefeitura Municipal ;11/02/2021;23/02/2021;;N;Art. 24, II, Lei 8666/93;183.63000000000102;0.010686333446425523
000012/21;12.0;CONVITE;21;1;Homologada  ;04/03/2021;66004.57;64682.25;contratação de serviços de engenharia para Execução de Fechamento de Aterro Sanitários em Valas, sito à rodovia Waldemar Lopes Ferraz km 574 +100, nes;18/02/2021;04/03/2021;;N;;1322.320000000007;0.020033764328742796
000011/21;11.0;DISPENSA;21;7;Homologada  ;19/02/2021;15717.21;12740.78;aquisição de produtos de higiene e limpeza para atendimento às necessidades dos setores da Administração Pública do Município de Riolândia-SP, conform;29/01/2021;19/02/2021;;N;Art. 24, II, Lei 8666/93;2976.4299999999985;0.18937394104933372
000010/21;10.0;DISPENSA;21;6;Homologada  ;15/02/2021;15060.44;13339.65;aquisição de gêneros alimentícios para atendimento às necessidades de setores da Administração Pública e Merenda Escolar deste Município de Riolândia-;29/01/2021;15/02/2021;;N;Art. 24, II, Lei 8666/93;1720.7900000000009;0.11425894595377033
000009/21;9.0;DISPENSA;21;5;Homologada  ;11/02/2021;16403.57;15744.44;Aquisição de materiais para construção, para atender a demanda da Prefeitura Municipal de Riolândia, conforme especificações técnicas e quantidades co;18/01/2021;11/02/2021;;N;Art. 24, II, Lei 8666/93;659.1299999999992;0.040182106699943924
000008/21;8.0;PREGÃO PRESENCIAL;21;2;Homologada  ;24/02/2021;41548.01;40044.0;contratação de empresa de engenharia especializada na prestação dos serviços de coleta, transporte, tratamento e destinação final dos resíduos dos ser;05/02/2021;24/02/2021;;N;;1504.010000000002;0.03619932699544459
000007/21;7.0;DISPENSA;21;4;Homologada  ;08/02/2021;36637.5;30000.0;Contratação de empresa especializada em fornecimento de testes de COVID-19, para atender a demanda do setor da saúde do município de Riolândia/SP, con;22/01/2021;08/02/2021;;N;Art. 24, II, Lei 8666/93;6637.5;0.1811668372569089
000006/21;6.0;DISPENSA;21;3;Homologada  ;05/02/2021;50300.0;47100.0;contratação de empresa especializada em locação de equipamento de som e propaganda de Rua, com fornecimento de mão de obra, para atender a demanda de ;15/01/2021;05/02/2021;;N;Art. 24, II, Lei 8666/93;3200.0;0.0636182902584493
000005/21;5.0;DISPENSA;21;2;Homologada  ;03/02/2021;14930.0;14600.0;Aquisição de uma câmara para conservação de vacinas para atender as necessidades do Centro de Saúde do Município de Riolândia/SP.;08/01/2021;03/02/2021;;N;Art. 24, II, Lei 8666/93;330.0;0.022103148024112524
000004/21;4.0;TOMADA DE PREÇOS;21;1;Homologada  ;05/03/2021;1112463.33;791736.0;aquisição de materiais didáticos e recursos pedagógicos, para alunos e professores do Ensino Fundamental (6º Ano, 7º Ano, 8º Ano e 9º Ano), matriculad;27/01/2021;05/03/2021;;N;;320727.3300000001;0.2883037322227961
000003/21;3.0;INEXIGIBILIDADE;21;1;Homologada  ;21/01/2021;84000.0;60000.0;PRESTAÇÃO DE SERVIÇOS PROFISSIONAIS DE CONSULTORIA JURÍDICA DE APOIO;11/01/2021;21/01/2021;;N;Art. 25, II, Lei 8666/93;24000.0;0.2857142857142857
000002/21;2.0;DISPENSA;21;1;Homologada  ;25/01/2021;17470.98;17159.25;a aquisição de cestas básicas de alimentos para o Fundo Municipal de Assistência e Promoção Social da Prefeitura Municipal de Riolândia, para continua;13/01/2021;25/01/2021;;N;Art. 24, II, Lei 8666/93;311.72999999999956;0.017842731203401272
000001/21;1.0;PREGÃO PRESENCIAL;21;1;Homologada  ;11/02/2021;401475.1;396770.0;O Registro de Preços para à aquisição de bobinas para sacos de lixo para suprir a demanda de diversos setores da Prefeitura Municipal de Riolândia, co;27/01/2021;11/02/2021;;S;;4705.099999999977;0.011719531298454069
000151/22;151.0;CONVITE;22;24;Homologada  ;27/12/2022;140442.74;140001.49;Contratação de empresa especializada na prestação de serviços especializados de reforma e adaptação, incluido fornecimento de materiais, para implanta;12/12/2022;27/12/2022;;N;;441.25;0.0031418498385890224
000150/22;150.0;DISPENSA;22;53;Homologada  ;07/12/2022;16166.67;15000.0;Contratação de empresa especializada no fornecimento de estrutura técnica e operacional, visando a realização da tradicional festa de Ano Novo do Muni;17/11/2022;07/12/2022;;N;Art. 24, II, Lei 8666/93;1166.67;0.072165139759765
000149/22;149.0;DISPENSA;22;52;Homologada  ;06/12/2022;22370.34;22281.0;Aquisição de eletrodomésticos para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atendend;17/10/2022;06/12/2022;;N;Art. 75, II, Lei 14.133/2021;89.34000000000015;0.003993680918573439
000148/22;148.0;PREGÃO ELETRÔNICO;22;50;Homologada  ;16/12/2022;25664.03;22281.0;Aquisição de Ar Condicionado, Cadeira, Lavadora e Tablet, para atender as necessidades do Setor de Saúde do Município de Riolândia/SP, com entrega par;02/12/2022;16/12/2022;;N;;3383.029999999999;0.13181990513570935
000147/22;147.0;INEXIGIBILIDADE;22;9;Homologada  ;01/12/2022;80000.0;80000.0;Contratação de profissional do setor artístico para realização de show, visando a realização da tradicional festa de Ano Novo do Município de Riolândi;19/10/2022;01/12/2022;;N;Art. 25, III, Lei 8666/93;0.0;0.0
000146/22;146.0;DISPENSA;22;1;Homologada  ;29/12/2022;774978.0;774978.0;Aquisição de gêneros alimentícios diretamente da agricultura familiar e do empreendedor familiar rural, destinados a merenda escolar do Município de R;24/11/2022;29/12/2022;;N;Chamada Publica - Lei Federal 11.947/2009;0.0;0.0
000145/22;145.0;PREGÃO PRESENCIAL;22;49;Homologada  ;08/12/2022;1130510.9;1099700.0;Registro de Preço para eventuais aquisições de kits de materiais escolares, visando a distribuição aos alunos matriculados nas escolas municipais de R;11/11/2022;08/12/2022;;S;;30810.899999999907;0.02725396101886316
000144/22;144.0;DISPENSA;22;51;Homologada  ;07/11/2022;500692.5;495000.0;Contratação de serviços de administração, gerenciamento, emissão e fornecimento de documentos de legitimação - Auxílio Alimentação, na forma de cartão;13/10/2022;07/11/2022;;N;Art. 24, IV, Lei 8666/93;5692.5;0.011369253583786456
000143/22;143.0;DISPENSA;22;50;Homologada  ;07/11/2022;11824.97;10900.0;Contratação de empresa especializada em organização de eventos, para fornecimento e instalação de mesas, cadeiras e itens de decoração, para que seja ;11/10/2022;07/11/2022;;N;Art. 75, II, Lei 14.133/2021;924.9699999999993;0.07822176293047672
000142/22;142.0;DISPENSA;22;49;Homologada  ;07/11/2022;27881.4;25980.0;Aquisição de peças específicas que necessitam os ares-condicionados da escola municipal Maria Aparecida dos Santos Franco do Município de Riolândia-SP;11/10/2022;07/11/2022;;N;Art. 75, II, Lei 14.133/2021;1901.4000000000015;0.06819600163549898
000141/22;141.0;CONVITE;22;23;Homologada  ;17/11/2022;99791.28;101203.0;Contratação de empresa especializada em retífica de motor, visando o fornecimento de peças e mão de obra, para atender as necessidades de diversos veí;24/10/2022;17/11/2022;;N;;-1411.7200000000012;-0.01414672704869605
000140/22;140.0;DISPENSA;22;48;Homologada  ;03/11/2022;20503.2;17256.0;Contratação de empresa especializada em serviços de computação em nuvem, incluindo plataforma de armazenamento de imagens em nuvem em formato White La;10/10/2022;03/11/2022;;N;Art. 24, II, Lei 8666/93;3247.2000000000007;0.15837527800538456
000139/22;139.0;PREGÃO PRESENCIAL;22;48;Homologada  ;16/11/2022;119268.0;110400.0;Contratação de laboratório de análises clínicas ou empresa especializada para, por demanda, realizar exames laboratoriais de pacientes das Unidades Bá;25/10/2022;16/11/2022;;N;;8868.0;0.07435355669584465
000138/22;138.0;DISPENSA;22;47;Homologada  ;25/10/2022;14137.5;12050.0;Contratação de empresa especializada na prestação de serviços de planejamento e execução de Concurso Público no município de Riolândia, conforme espec;11/10/2022;25/10/2022;;N;Art. 24, II, Lei 8666/93;2087.5;0.14765694076038904
000137/22;137.0;INEXIGIBILIDADE;22;8;Homologada  ;20/10/2022;20000.0;20000.0;Contratação de carreta itinerante, estilo salão de beleza, equipada, inclusive com acessibilidade, para realizar serviço social de atendimento profiss;14/10/2022;20/10/2022;;N;Art. 25.  Caput;0.0;0.0
000136/22;136.0;PREGÃO PRESENCIAL;22;47;Homologada  ;08/11/2022;229210.8;147000.0;Registro de Preços em empresa especializada no fornecimento de areia grossa, areia fina, pedra britada 1 e pedrisco, para suprir as necessidades de di;19/10/2022;08/11/2022;;S;;82210.79999999999;0.3586689632425697
000135/22;135.0;PREGÃO PRESENCIAL;22;46;Homologada  ;07/11/2022;167213.0;165650.0;Registro de Preços de clínica veterinária ou hospital veterinário visando à esterilização de animais machos e fêmeas, para controle da população canin;17/10/2022;07/11/2022;;S;;1563.0;0.00934735935603093
000134/22;134.0;DISPENSA;22;46;Homologada  ;10/10/2022;20359.56;16230.0;Contratação de empresa especializada no fornecimento de diversos tipos de brinquedos para atender as necessidades do Fundo Social de Solidariedade de ;27/09/2022;10/10/2022;;N;Art. 24, II, Lei 8666/93;4129.560000000001;0.20283149537612802
000133/22;133.0;PREGÃO PRESENCIAL;22;45;Homologada  ;18/11/2022;259896.85;246522.8;Registro de Preço de empresa especializada no fornecimento de peças e acessórios e na prestação de serviços de mão de obra mecânica, para manutenção p;11/10/2022;18/11/2022;;S;;13374.050000000017;0.0514590692422783
000132/22;132.0;PREGÃO PRESENCIAL;22;44;Homologada  ;28/10/2022;380411.52;370000.0;Contratação de empresa especializada na prestação de serviços no ramo de seguros automotivos, com cobertura contra danos materiais resultantes de sini;11/10/2022;28/10/2022;;N;;10411.520000000019;0.027369097549937545
000131/22;131.0;DISPENSA;22;45;Homologada  ;07/10/2022;19006.0;17500.0;Contratação de empresa especializada em elaboração de conteúdos e ampla divulgação regional, para realizar propaganda institucional do Município de Ri;27/09/2022;07/10/2022;;N;Art. 24, II, Lei 8666/93;1506.0;0.07923813532568663
000130/22;130.0;DISPENSA;22;44;Homologada  ;06/10/2022;35400.0;30000.0;Locação de prédio comercial situado na Avenida 07, nº 1044, Centro, Riolândia/SP, destinado ao uso do Setor de Turismo do Município de Riolândia-SP, p;08/09/2022;06/10/2022;;N;Art. 24, X, Lei 8666/93;5400.0;0.15254237288135594
000129/22;129.0;DISPENSA;22;43;Homologada  ;06/10/2022;19080.71;17044.5;Contratação de empresa especializada em fornecimento de uniformes, para atender a demanda do setor da saúde do município de Riolândia/SP, conforme esp;29/08/2022;06/10/2022;;N;Art. 24, II, Lei 8666/93;2036.2099999999991;0.1067156306028444
000128/22;128.0;DISPENSA;22;42;Homologada  ;05/10/2022;34133.44;23001.6;Contratação de empresa especializada na prestação de serviços de rastreamento, gerenciamento veicular e de velocidade, abrangendo monitoramento via in;02/09/2022;05/10/2022;;N;Art. 75, II, Lei 14.133/2021;11131.840000000004;0.3261271058527943
000127/22;127.0;DISPENSA;22;41;Homologada  ;04/10/2022;16193.33;15400.0;Contratação de serviços de passeio com trenzinho, para atender e proporcionar alegria as crianças do Município de Riolândia/SP, conforme especificaçõe;17/09/2022;04/10/2022;;N;Art. 75, II, Lei 14.133/2021;793.3299999999999;0.048991158705467
