Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Artigo/Inciso;Economia Absoluta;Economia Percentual
000121/21;121.0;DISPENSA;21;50;Homologada  ;03/09/2021;22512.0;17220.0;Contratação de empresa especializada no fornecimento de Kits de higiene bucal, para atender as necessidades do Centro Odontológico Municipal - COM do ;05/08/2021;03/09/2021;;N;Art. 75, II, Lei 14.133/2021;5292.0;0.23507462686567165
000120/21;120.0;PREGÃO PRESENCIAL;21;49;Homologada  ;16/09/2021;3064795.7;552842.65;Registro de Preço para à aquisição de materiais hospitalares para atender a demanda das Unidades Básicas de Saúde do município de Riolândia, com entre;26/08/2021;16/09/2021;;S;;2511953.0500000003;0.8196151704337096
000119/21;119.0;DISPENSA;21;49;Homologada  ;31/08/2021;49725.0;46800.0;Contratação de empresa especializada para prestação de serviços de funilaria e pintura para atender as necessidade dos veículos da frota da Prefeitura;11/08/2021;31/08/2021;;N;Art. 75, II, Lei 14.133/2021;2925.0;0.058823529411764705
000118/21;118.0;DISPENSA;21;48;Homologada  ;31/08/2021;2696.64;1788.0;Contratação de empresa especializada em serviços de suporte técnico e manutenção preventiva dos relógios de ponto da Prefeitura Municipal de Riolândia;02/08/2021;31/08/2021;;N;Art. 24, II, Lei 8666/93;908.6399999999999;0.3369526521893912
000117/21;117.0;DISPENSA;21;47;Homologada  ;30/08/2021;27104.63;17000.0;Contratação de software especializado em gestão, gerenciamento, armazenando dados e informações para a Assistência Social do Município de Riolândia-SP;19/07/2021;30/08/2021;;N;Art. 24, II, Lei 8666/93;10104.630000000001;0.3728008830963566
000116/21;116.0;PREGÃO PRESENCIAL;21;48;Homologada  ;14/09/2021;616985.0;605046.0;Contratação de empresa especializada no fornecimento de produtos de panificação, para suprir as necessidades dos diversos setores da Prefeitura Munici;27/08/2021;14/09/2021;;S;;11939.0;0.019350551472077926
000115/21;115.0;PREGÃO PRESENCIAL;21;47;Homologada  ;10/09/2021;531960.0;456000.0;Registro de Preço de empresa especializada na realização de oficinas de atividades socioeducativas no âmbito dos programas da Assistência Social do mu;19/08/2021;10/09/2021;;S;;75960.0;0.14279269117978796
000114/21;114.0;PREGÃO PRESENCIAL;21;46;Homologada  ;08/09/2021;56411.83;51300.0;aquisição de Cardioversor e Lavadora de Alta Pressão para suprir as necessidades do setor da saúde do município de Riolândia, com entrega imediata, co;18/08/2021;08/09/2021;;N;;5111.830000000002;0.09061627676322505
000113/21;113.0;CONVITE;21;18;Homologada  ;26/08/2021;169852.49;162106.63;Contratação de empresa especializada no fornecimento de peças/acessórios e prestação de serviços de mão de obra mecânica, para manutenção de diversos ;12/08/2021;01/09/2021;;N;;7745.859999999986;0.045603452737136715
000112/21;112.0;PREGÃO PRESENCIAL;21;45;Homologada  ;05/10/2021;1562844.4;1367350.0;Contratação de serviços de administração, gerenciamento, emissão e fornecimento de documentos de legitimação – Auxílio Alimentação, na forma de cartão;21/09/2021;05/10/2021;;N;;195494.3999999999;0.12508884441726886
000111/21;111.0;PREGÃO ELETRÔNICO;21;44;Homologada  ;27/08/2021;143740.0;94569.0;Aquisição de equipamentos de informática, para suprir as necessidades do Setor de Saúde da Prefeitura Municipal de Riolândia, com entrega imediata, co;11/08/2021;27/08/2021;;N;;49171.0;0.34208292750800057
000110/21;110.0;PREGÃO PRESENCIAL;21;43;Homologada  ;25/08/2021;56562.57;22380.18;Aquisição de medicamentos e produtos de uso veterinário, para atender a demanda do Canil Municipal de Riolândia, com entrega parcelada pelo período de;09/08/2021;25/08/2021;;N;;34182.39;0.6043287990627018
000109/21;109.0;DISPENSA;21;46;Homologada  ;11/08/2021;17000.04;14400.0;Contratação de Empresa para prestação de serviços de capacitação, treinamento, apoio técnico especializado para servidores do setor de Arrecadação e F;07/06/2021;11/08/2021;;N;Art. 24, II, Lei 8666/93;2600.040000000001;0.15294316954548345
000108/21;108.0;PREGÃO PRESENCIAL;21;42;Homologada  ;19/08/2021;359034.7;184158.2;O registro de preços para aquisição de material esportivo, para manutenção das atividades correlatas desenvolvidas pelos diversos setores da Prefeitur;03/08/2021;19/08/2021;;S;;174876.5;0.48707409061018336
000107/21;107.0;PREGÃO PRESENCIAL;21;41;Homologada  ;18/08/2021;57309.66;33200.15;Aquisição de móveis e eletrodomésticos para atender a demanda da nova Unidade de Saúde da Familia do município de Riolândia-SP, com entrega imediata, ;03/08/2021;18/08/2021;;N;;24109.510000000002;0.42068841448370137
000106/21;106.0;PREGÃO PRESENCIAL;21;40;Homologada  ;17/08/2021;1930532.8;1332816.9;Registro de Preços para a aquisição de gêneros alimentícios não perecíveis para atendimento às necessidades do serviço de merenda escolar da Rede Muni;02/08/2021;17/08/2021;;S;;597715.9000000001;0.30961188538210804
000105/21;105.0;DISPENSA;21;45;Homologada  ;03/08/2021;18000.0;16800.0;locação de prédio residencial situado na Rua 08, nº 668, Centro, Riolândia-SP, destinado ao funcionamento da CASA LAR;16/06/2021;03/08/2021;;N;Art. 24, X, Lei 8666/93;1200.0;0.06666666666666667
000104/21;104.0;DISPENSA;21;44;Homologada  ;02/08/2021;16870.68;16758.0;Contratação de empresa especializada na prestação de serviço móvel pessoal (SMP) nas modalidades de voz/dados, pelo período de 12 (doze) meses, em con;14/06/2021;02/08/2021;;N;Art. 24, II, Lei 8666/93;112.68000000000029;0.0066790431683844565
000103/21;103.0;CONVITE;21;17;Homologada  ;11/08/2021;27563.31;25000.0;contratação de empresa especializada na realização de retifica de motor, incluindo fornecimento de peças/acessórios e mão de obra mecânica, para manut;27/07/2021;11/08/2021;;N;;2563.3100000000013;0.09299717631880935
000102/21;102.0;CONVITE;21;16;Homologada  ;09/08/2021;61703.62;58280.0;contratação de empresa especializada em fornecimento e instalação de paredes de gesso, manta acústica, pedra para balcão, vidro para guichê e espelhos;26/07/2021;09/08/2021;;N;;3423.6200000000026;0.05548491320282347
000101/21;101.0;PREGÃO PRESENCIAL;21;39;Homologada  ;07/10/2021;191197.02;100000.0;Contratação de empresa especializada na prestação de serviços no ramo de seguros automotivos, com cobertura contra danos materiais resultantes de sini;23/07/2021;07/10/2021;;N;;91197.01999999999;0.4769792960162245
