Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000088/20;088;DISPENSA;20;34;Homologada  ;23/12/2020;11:00;13.500,00;13.060,00;Contratação de empresa especializada na aquisição e instalação de persianas e forro de PVC, para atender as necessidades do Casa Lar, vinculado ao Ser;04/11/2020;23/12/2020;;N;;Art. 24, II, Lei 8666/93;;
000087/20;087;DISPENSA;20;33;Homologada  ;18/12/2020;08:00;12.591,00;12.261,00;Aquisição de eletrodomésticos para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atendend;23/11/2020;18/12/2020;;N;;Art. 24, II, Lei 8666/93;;
000086/20;086;DISPENSA;20;32;Homologada  ;18/12/2020;09:00;11.826,67;10.990,00;Aquisição de 01 (uma) moto 0 KM, para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atend;23/11/2020;18/12/2020;;N;;Art. 24, II, Lei 8666/93;;
000085/20;085;DISPENSA;20;31;Homologada  ;11/12/2020;08:00;12.766,67;12.500,00;Contratação de empresa especializada na aquisição de portas de giro, para atender as necessidades do Centro Comunitário, vinculado ao Serviço de Convi;02/11/2020;11/12/2020;;N;;Art. 24, II, Lei 8666/93;;
000084/20;084;DISPENSA;20;30;Homologada  ;03/12/2020;08:00;3.433,33;3.300,00;Contratação de empresa especializada na aquisição de painéis para divisórias, para atender as necessidades do Centro Comunitário, vinculado ao Serviço;02/11/2020;03/12/2020;;N;;Art. 24, II, Lei 8666/93;;
000083/20;083;DISPENSA;20;29;Homologada  ;01/12/2020;09:00;3.966,48;3.924,00;Contratação de empresa especializada em serviços e aquisição de produtos de vidraçaria, para atender a demanda da Prefeitura Municipal de Riolândia, c;05/11/2020;01/12/2020;;N;;Art. 24, II, Lei 8666/93;;
000082/20;082;PREGÃO PRESENCIAL;20;39;Homologada  ;07/12/2020;08:30;2.994.725,25;2.483.936,50;O Registro de preço para à aquisição de gêneros alimentícios perecíveis para atendimento às necessidades do serviço de merenda escolar da Rede Municip;23/11/2020;07/12/2020;;S;11/12/2021;;;
000081/20;081;PREGÃO PRESENCIAL;20;38;Homologada  ;03/12/2020;08:30;188.304,69;123.960,00;Registro de Preços para contratação de empresa especializada em serviços de solda e torno preventiva e corretiva em veículos, maquinários e mobiliário;18/11/2020;03/12/2020;;S;09/12/2021;;;
000080/20;080;DISPENSA;20;2;Homologada  ;17/12/2020;09:00;437.651,61;437.530,90;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DIRETAMENTE DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL DESTINADO A MERENDA ESCOLAR, CONFORME §1º DO AR;11/11/2020;17/12/2020;;N;;Chamada Publica - Lei Federal 11.947/2009;;
000079/20;079;DISPENSA;20;28;Homologada  ;23/10/2020;08:00;14.360,78;13.674,00;Contratação de empresa especializada em serviços e aquisição de produtos de vidraçaria, para atender a demanda da Prefeitura Municipal de Riolândia, c;23/09/2020;23/10/2020;;N;;Art. 24, II, Lei 8666/93;;
