Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000085/22;085;PREGÃO PRESENCIAL;22;28;Homologada  ;21/07/2022;08:30;430.198,32;320.239,65;Registro de Preço para aquisição de gêneros alimentícios perecíveis e não perecíveis, para atendimento às necessidades de diversos setores da Administ;01/07/2022;21/07/2022;;S;28/07/2023;;;
000084/22;084;PREGÃO PRESENCIAL;22;27;Homologada  ;19/07/2022;08:30;641.024,68;449.477,00;Registro de Preço para aquisição de alimentos perecíveis e não perecíveis, para projetos e programas da Assistência Social do Município de Riolândia/S;01/07/2022;19/07/2022;;S;25/07/2023;;;
000083/22;083;CONVITE;22;17;Homologada  ;11/07/2022;09:30;90.696,04;80.435,00;Contratação de empresa especializada na confecção e correta instalação de faixas, banner em lona e adesivos de vinil, com impressão digital, colorida ;23/06/2022;11/07/2022;;N;;;;
000082/22;082;CONVITE;22;16;Homologada  ;08/07/2022;09:30;41.715,00;39.945,00;Contratação de empresa especializada na prestação de serviços especializados de elaboração de Projetos Executivos (incluindo memorial descritivo da ob;27/06/2022;08/07/2022;;N;;;;
000081/22;081;DISPENSA;22;26;Homologada  ;27/06/2022;09:00;14.556,00;11.388,00;Contratação de empresa especializada em locação de equipamento de informática do tipo “servidor” seminovo, para atender as necessidades da Prefeitura ;01/06/2022;27/06/2022;;N;;Art. 24, II, Lei 8666/93;;
000080/22;080;PREGÃO PRESENCIAL;22;26;Homologada  ;13/07/2022;08:30;558.106,58;521.497,35;Registro de Preço de empresa especializada no fornecimento de peças e acessórios e na prestação de serviços de auto elétrica, para manutenção preventi;22/06/2022;13/07/2022;;S;20/07/2023;;;
000079/22;079;INEXIGIBILIDADE;22;6;Homologada  ;27/06/2022;09:00;62.500,00;62.500,00;Contratação de profissional do setor artístico, para realização de show para as festividades da tradicional “Festa do Peão” do Município de Riolândia-;06/06/2022;27/06/2022;;N;;Art. 25, III, Lei 8666/93;;
000078/22;078;INEXIGIBILIDADE;22;5;Homologada  ;27/06/2022;09:00;85.000,00;85.000,00;Contratação de profissional do setor artístico, para realização de show para as festividades da tradicional “Festa do Peão” do Município de Riolândia-;06/06/2022;27/06/2022;;N;;Art. 25, III, Lei 8666/93;;
000077/22;077;CONVITE;22;15;Homologada  ;30/06/2022;14:30;225.283,36;221.928,30;Contratação de empresa especializada na prestação de serviços para a reforma do Centro de Múltiplo Uso do Município de Riolândia-SP, conforme especifi;21/06/2022;30/06/2022;;N;;;;
000076/22;076;CONVITE;22;14;Homologada  ;30/06/2022;14:30;189.345,84;186.868,00;Contratação de empresa especializada no fornecimento e instalação de luminária de LED na Avenida 11 do Município de Riolândia-SP, conforme especificaç;21/06/2022;30/06/2022;;N;;;;
